active,cik,composite_figi,currency_name,last_updated_utc,locale,market,name,primary_exchange,share_class_figi,ticker,type
True,0001090872,BBG000C2V3D6,usd,2026-03-24T06:07:49.662776911Z,us,stocks,Agilent Technologies Inc.,XNYS,BBG001SCTQY4,A,CS
True,0001675149,BBG00B3T3HD3,usd,2026-03-24T06:07:49.662777873Z,us,stocks,Alcoa Corporation,XNYS,BBG00B3T3HF1,AA,CS
True,0001776878,BBG01B0JRCS6,usd,2026-03-24T06:07:49.662777993Z,us,stocks,Alternative Access First Priority CLO Bond ETF,ARCX,BBG01B0JRCT5,AAA,ETF
True,,BBG01W275XX6,usd,2026-03-24T06:07:49.662778143Z,us,stocks,Amplius Aggressive Asset Allocation ETF,BATS,BBG01W275ZB5,AAAA,ETF
True,0001551950,BBG01YZNRVY0,usd,2026-03-24T06:07:49.662778394Z,us,stocks,Columbia AAA CLO ETF,ARCX,BBG01YZNRWV1,AAAC,ETF
True,0001708646,BBG00LPXX872,usd,2026-03-24T06:07:49.662778514Z,us,stocks,Goldman Sachs Physical Gold ETF Shares,BATS,BBG00LPXX8Z1,AAAU,ETF
True,0002034334,,usd,2026-03-24T06:07:49.662778654Z,us,stocks,Artius II Acquisition Inc. Class A Ordinary Shares,XNAS,,AACB,CS
True,0002034334,,usd,2026-03-24T06:07:49.662778764Z,us,stocks,Artius II Acquisition Inc. Rights,XNAS,,AACBR,RIGHT
True,0002034334,,usd,2026-03-24T06:07:49.662779005Z,us,stocks,Artius II Acquisition Inc. Units,XNAS,,AACBU,UNIT
True,0001420529,BBG000V2S3P6,usd,2026-03-24T06:07:49.662779115Z,us,stocks,ATA Creativity Global American Depositary Shares,XNAS,BBG001T125S9,AACG,ADRC
True,0002092897,,usd,2026-03-24T06:07:49.662779235Z,us,stocks,Armada Acquisition Corp. III Units,XNAS,,AACIU,UNIT
True,0002099906,,usd,2026-03-24T06:07:49.662779365Z,us,stocks,Abony Acquisition Corp. I Units,XNAS,,AACOU,UNIT
True,0001408970,BBG000BDYRW6,usd,2026-03-24T06:07:49.662779836Z,us,stocks,AdvisorShares Dorsey Wright ADR ETF,XNAS,BBG001T9B1Y4,AADR,ETF
True,,BBG01YY0GN44,usd,2026-03-24T06:07:49.662779947Z,us,stocks,Alpha Architect US Equity 2 ETF,XNAS,BBG01YY0GP12,AAEQ,ETF
True,0000006201,BBG005P7Q881,usd,2026-03-24T06:07:49.662780077Z,us,stocks,American Airlines Group Inc.,XNAS,BBG005P7Q907,AAL,CS
True,0001976322,BBG01VH49P35,usd,2026-03-24T06:07:49.662780187Z,us,stocks,Leverage Shares 2X Long AAL Daily ETF,XNAS,BBG01VH49Q06,AALG,ETF
True,0000008177,BBG000B9XB24,usd,2026-03-24T06:07:49.662780427Z,us,stocks,Atlantic American Corp,XNAS,BBG001S5N8T1,AAME,CS
True,0001748824,BBG00P2HLNY3,usd,2026-03-24T06:07:49.662780538Z,us,stocks,Acadian Asset Management Inc.,XNYS,BBG00P2HLNZ2,AAMI,CS
True,0001158114,BBG000D6VW15,usd,2026-03-24T06:07:49.662780638Z,us,stocks,"Applied Optoelectronics, Inc.",XNAS,BBG001SG47G4,AAOI,CS
True,0000824142,BBG000C2LZP3,usd,2026-03-24T06:07:49.662780758Z,us,stocks,Aaon Inc,XNAS,BBG001S6CZK0,AAON,CS
True,0001158449,BBG000F7RCJ1,usd,2026-03-24T06:07:49.662780878Z,us,stocks,ADVANCE AUTO PARTS INC,XNYS,BBG001SD2SB2,AAP,CS
True,0001689873,BBG0193F21N2,usd,2026-03-24T06:07:49.662780999Z,us,stocks,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,XNAS,BBG0193F22H7,AAPB,ETF
True,,BBG0193YGJ57,usd,2026-03-24T06:07:49.662781109Z,us,stocks,Direxion Shares ETF Trust Direxion Daily AAPL Bear 1X ETF,XNAS,BBG0193YGK09,AAPD,ETF
True,0002023311,BBG01RJXM9C9,usd,2026-03-24T06:07:49.662781209Z,us,stocks,Ascentage Pharma Group International American Depository Shares,XNAS,BBG01RJXMB89,AAPG,ADRC
True,0000320193,BBG000B9XRY4,usd,2026-03-24T06:07:49.662781439Z,us,stocks,Apple Inc.,XNAS,BBG001S5N8V8,AAPL,CS
True,0001415726,BBG01M698CQ1,usd,2026-03-24T06:07:49.66278155Z,us,stocks,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,BATS,BBG01M698DK5,AAPR,ETF
True,,BBG0193YBZ92,usd,2026-03-24T06:07:49.66278165Z,us,stocks,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X ETF,XNAS,BBG0193YC043,AAPU,ETF
True,,BBG01SCFVRC3,usd,2026-03-24T06:07:49.66278176Z,us,stocks,Roundhill AAPL WeeklyPay ETF,BATS,BBG01SCFVS86,AAPW,ETF
True,,BBG01KY72SD3,usd,2026-03-24T06:07:49.662782141Z,us,stocks,T-Rex 2X Long Apple Daily Target ETF,BATS,BBG01KY72T78,AAPX,ETF
True,0001848758,BBG01QY0GMH9,usd,2026-03-24T06:07:49.662782451Z,us,stocks,Kurv Yield Premium Strategy Apple (AAPL) ETF,BATS,BBG01QY0GNH7,AAPY,ETF
True,0001774857,BBG01223DLB2,usd,2026-03-24T06:07:49.662782672Z,us,stocks,"Aardvark Therapeutics, Inc. Common Stock",XNAS,BBG01223DLC1,AARD,CS
True,0001500217,BBG00161BCR0,usd,2026-03-24T06:07:49.662782782Z,us,stocks,"AMERICAN ASSETS TRUST, INC.",XNYS,BBG001TCBJS5,AAT,CS
True,,BBG020ZGPCR0,usd,2026-03-24T06:07:49.662782882Z,us,stocks,Alpha Architect US Equity 3 ETF,BATS,BBG020ZGPF02,AAUA,ETF
True,0001993344,BBG01K0WWT59,usd,2026-03-24T06:07:49.662782982Z,us,stocks,Allied Gold Corporation,XNYS,BBG01J3PPZ58,AAUC,CS
True,0002056807,BBG01X2NVVB8,usd,2026-03-24T06:07:49.662783083Z,us,stocks,Tema Alternative Asset Managers ETF,BATS,BBG01X2NVW80,AAUM,ETF
